,H,N,SimpleE,SimpleC,delta
217,1.0,1.2055911069007088,0.321271588771318,11,2
218,1.0,1.5107388027872206,1.3404134003330854,11,2
219,0.0,2.5030389228106937,2.7658350507832195,39,6
220,1.0,2.727336001742483,0.6330229220840912,26,4
221,0.015852923447860157,1.1133498511952435,0.4152271089407973,22,4
222,0.088140134435025,3.390758060800602,0.0,28,4
223,1.0,0.0,0.2807961096861627,39,6
224,0.0,2.5081010814612212,2.8507298912153107,27,4
225,2.0,4.659171338777179,1.1346002539996265,32,6
226,1.0,2.473694490877966,3.0401010147520737,26,4
227,0.0,2.42653554941446,0.0,32,6
228,0.8695869218492236,2.404536176456899,0.0,30,4
229,1.0,1.0,0.1710861408470661,26,4
230,1.0,1.3467474735674205,0.3864503726294182,16,2
231,1.0,0.9322957335836781,1.1734055057577875,28,4
232,0.0,2.0,1.2127202322948394,38,6
233,0.0,2.961262805500872,0.0,26,4
234,0.0,1.0,0.45794644227312764,24,4
235,0.0,1.3045376652229583,0.07726751497739863,25,4
236,1.0,0.0,0.8548923645522395,19,2
237,1.0,1.6469405584319876,0.1299288557641511,29,4
238,0.8481591322429125,2.000428835515473,1.3427812045570662,17,2
239,2.0,3.87681018686013,1.912102309263786,30,4
240,0.6750917711106954,3.6460038079589943,3.3637446396633495,18,2
241,2.0,5.0,1.5924145807702825,50,6
242,1.0,2.1090585390596877,0.8552410006598359,34,6
243,0.6342318822114441,1.0,0.04457073189762095,43,6
244,1.0,2.159169014471227,1.3324489226292628,28,4
245,1.0,2.285513583300265,0.0,33,6
246,1.0192307692307692,1.0,0.6107404697832036,38,6
247,0.0,2.232747889159315,2.0826006784739226,16,2
248,0.0,0.31308672308292707,0.21200765418889844,43,6
249,0.0,1.2627668387092719,5.0,17,2
250,1.0,2.9877485488127427,5.0,32,4
251,1.0,2.942304055112186,3.7846910608392452,26,4
252,1.8865769940423789,1.4622956576994488,0.25569812920311386,35,6
253,0.0,0.0,0.0,42,6
254,1.0,2.001122962958057,1.111532260570037,24,4
255,0.0,1.4049179305703965,0.056832647352700286,14,2
256,1.2060021927600104,2.900969525472897,0.46841908337914206,32,6
257,0.0,2.0,0.0,42,6
258,0.0,4.1456001792780715,0.9698993115033188,23,4
259,1.0,5.0,0.8695582421800963,14,2
260,1.0,4.940583587692901,0.10563945628800953,38,6
261,0.0,2.0,5.0,26,4
262,0.0,2.2696690605477015,0.5214909123150936,13,2
263,1.0,1.1154838115262482,0.5416079641068686,38,6
264,1.0,2.2468840020304857,3.9397117753124125,30,4
265,2.0,5.0,1.5393448235741152,15,2
266,1.0,2.9416440243356208,1.5801634789699763,23,4
267,0.16666666666666696,0.1511481212223469,2.1112860736548846,45,6
268,0.0,5.0,1.5847714710001166,15,2
269,0.0,1.0337992042477566,0.29150435174806777,24,4
270,0.0,5.0,1.5152903872388588,22,4
271,3.0,1.6714498106786646,0.0,41,6
272,2.0,1.0,2.128308061454203,17,2
273,1.0,3.6844533091034233,5.0,36,6
274,0.3162393806012953,1.6203776672287242,1.469620884538791,14,2
275,2.0,4.270022891711745,4.373295493958598,14,2
276,0.0,1.0,1.5302984058169904,11,2
277,0.0,2.1696956342892975,2.0684621296305234,12,2
278,0.0,2.9873737689754236,0.0,14,2
279,0.23627294376397678,0.3954222550414457,1.795405243443008,16,2
280,0.5578457193448059,2.5246379646419506,0.05909624715579567,27,4
281,0.0,1.1690065584624794,0.07480911988537178,34,6
282,1.9716922781572697,2.3810933712041944,2.6851514938236654,44,6
